"ep_no","series_ep_code","title","air_date"
"000","s01e00","Down the Mine (Pilot)","1983-04-30"
"001","s01e01","Thomas & Gordon","1984-10-09"
"002","s01e02","Edward & Gordon","1984-10-09"
"003","s01e03","The Sad Story of Henry","1984-10-16"
"004","s01e04","Edward, Gordon & Henry","1984-10-16"
"005","s01e05","Thomas' Train","1984-10-23"
"006","s01e06","Thomas & the Trucks","1984-10-23"
"007","s01e07","Thomas & the Breakdown Train","1984-10-30"
"008","s01e08","James & the Coaches","1984-10-30"
"009","s01e09","Troublesome Trucks","1984-11-06"
"010","s01e10","James & the Express","1984-11-06"
"011","s01e11","Thomas & the Guard","1984-11-13"
"012","s01e12","Thomas Goes Fishing","1984-11-13"
"013","s01e13","Thomas, Terence & the Snow","1984-11-20"
"014","s01e14","Thomas & Bertie","1984-11-20"
"015","s01e15","Tenders & Turntables","1984-11-27"
"016","s01e16","Trouble in the Shed","1984-11-27"
"017","s01e17","Percy Runs Away","1984-12-04"
"018","s01e18","Coal","1984-12-04"
"019","s01e19","The Flying Kipper","1984-12-11"
"020","s01e20","Whistles & Sneezes","1984-12-11"
"021","s01e21","Toby & the Stout Gentleman","1984-12-18"
"022","s01e22","Thomas in Trouble","1984-12-18"
"023","s01e23","Dirty Objects","1984-12-25"
"024","s01e24","Thomas' Christmas Party","1984-12-25"
"025","s01e25","Off the Rails","1985-01-08"
"026","s01e26","Down the Mine","1985-01-08"
"027","s02e01","Thomas, Percy & the Coal","1986-09-24"
"028","s02e02","Cows","1986-09-24"
"029","s02e03","Bertie's Chase","1986-10-01"
"030","s02e04","Saved from Scrap","1986-10-01"
"031","s02e05","Old Iron","1986-10-08"
"032","s02e06","Thomas & Trevor","1986-10-08"
"033","s02e07","Percy & the Signal","1986-10-15"
"034","s02e08","Duck Takes Charge","1986-10-15"
"035","s02e09","Percy & Harold","1986-10-22"
"036","s02e10","The Runaway","1986-10-22"
"037","s02e11","Percy Takes the Plunge","1986-10-29"
"038","s02e12","Pop Goes the Diesel","1986-10-29"
"039","s02e13","Dirty Work","1986-11-05"
"040","s02e14","A Close Shave","1986-11-05"
"041","s02e15","Better Late Than Never","1986-11-12"
"042","s02e16","Break Van","1986-11-12"
"043","s02e17","The Deputation","1986-11-19"
"044","s02e18","Thomas Comes to Breakfast","1986-11-19"
"045","s02e19","Daisy","1986-11-26"
"046","s02e20","Percy's Predicament","1986-11-26"
"047","s02e21","The Diseasel","1986-12-03"
"048","s02e22","Wrong Road","1986-12-03"
"049","s02e23","Edward's Exploit","1986-12-10"
"050","s02e24","Ghost Train","1986-12-10"
"051","s02e25","Woolly Bear","1986-12-17"
"052","s02e26","Thomas & the Missing Christmas Tree","1986-12-17"
"053","s03e01","A Scarf for Percy","1991-02-25"
"054","s03e02","Percy's Promise","1991-03-03"
"055","s03e03","Time for Trouble","1991-03-17"
"056","s03e04","Gordon & the Famous Visitor","1991-03-24"
"057","s03e05","Donald's Duck","1991-03-31"
"058","s03e06","Thomas Gets Bumped","1991-04-07"
"059","s03e07","Thomas, Percy & the Dragon","1991-04-07"
"060","s03e08","Diesel Does it Again","1991-04-14"
"061","s03e09","Henry's Forest","1991-04-14"
"062","s03e10","The Trouble with Mud","1991-04-21"
"063","s03e11","No Joke for James","1991-04-21"
"064","s03e12","Thomas, Percy & the Post Train","1991-04-28"
"065","s03e13","Trust Thomas","1991-04-28"
"066","s03e14","Mavis","1991-05-05"
"067","s03e15","Toby's Tightrope","1991-05-05"
"068","s03e16","Edward, Trevor & the Really Useful Party","1991-05-12"
"069","s03e17","Buzz Buzz","1991-05-12"
"070","s03e18","All at Sea","1991-05-19"
"071","s03e19","One Good Turn","1991-05-26"
"072","s03e20","Tender Engines","1992-06-02"
"073","s03e21","Escape!","1992-06-09"
"074","s03e22","Oliver Owns Up","1992-06-16"
"075","s03e23","Bulgy","1992-06-23"
"076","s03e24","Heroes","1992-06-30"
"077","s03e25","Percy, James & the Fruitful Day","1992-07-07"
"078","s03e26","Thomas & Percy's Christmas Adventure","1992-07-14"
"079","s04e01","Granpuff","1994-03-04"
"080","s04e02","Sleeping Beauty","1994-03-05"
"081","s04e03","Bulldog","1994-03-06"
"082","s04e04","You Can't Win!","1994-03-07"
"083","s04e05","Four Little Engines","1994-03-08"
"084","s04e06","A Bad Day for Sir Handel","1994-03-11"
"085","s04e07","Peter Sam & the Refreshment Lady","1994-03-12"
"086","s04e08","Trucks","1994-03-13"
"087","s04e09","Home at Last","1994-03-14"
"088","s04e10","Rock 'n' Roll","1994-03-15"
"089","s04e11","Special Funnel","1994-03-18"
"090","s04e12","Steam Roller","1994-03-19"
"091","s04e13","Passengers & Polish","1994-03-20"
"092","s04e14","Gallant Old Engine","1994-03-21"
"093","s04e15","Rusty to the Rescue","1994-03-22"
"094","s04e16","Thomas & Stepney","1994-03-25"
"095","s04e17","Train Stops Play","1994-03-26"
"096","s04e18","Bowled Out","1994-03-27"
"097","s04e19","Henry & the Elephant","1994-03-28"
"098","s04e20","Toad Stands By","1994-03-29"
"099","s04e21","Bulls Eyes","1995-04-01"
"100","s04e22","Thomas & the Special Letter","1995-04-02"
"101","s04e23","Paint Pots & Queens","1995-04-03"
"102","s04e24","Fish","1995-04-04"
"103","s04e25","Special Attraction","1995-04-05"
"104","s04e26","Mind That Bike","1995-04-08"
"105","s05e01","Cranky Bugs","1998-09-14"
"106","s05e02","Horrid Lorry","1998-09-15"
"107","s05e03","A Better View for Gordon","1998-09-16"
"108","s05e04","Lady Hatt's Birthday Party","1998-09-17"
"109","s05e05","James & the Trouble with Trees","1998-09-18"
"110","s05e06","Gordon & the Gremlin","1998-09-21"
"111","s05e07","Bye George!","1998-09-22"
"112","s05e08","Baa!","1998-09-23"
"113","s05e09","Put Upon Percy","1998-09-24"
"114","s05e10","Toby & the Flood","1998-09-25"
"115","s05e11","Haunted Henry","1998-09-28"
"116","s05e12","Double Teething Troubles","1998-09-29"
"117","s05e13","Stepney Gets Lost","1998-09-30"
"118","s05e14","Toby's Discovery","1998-10-01"
"119","s05e15","Something in the Air","1998-10-02"
"120","s05e16","Thomas, Percy & Old Slow Coach","1998-10-05"
"121","s05e17","Thomas & the Rumours","1998-10-06"
"122","s05e18","Oliver's Find","1998-10-07"
"123","s05e19","Happy Ever After","1998-10-08"
"124","s05e20","Sir Topham Hatt's Holiday","1998-10-09"
"125","s05e21","A Surprise for Percy","1998-10-12"
"126","s05e22","Make Someone Happy","1998-10-13"
"127","s05e23","Busy Going Backwards","1998-10-14"
"128","s05e24","Duncan Gets Spooked","1998-10-15"
"129","s05e25","Rusty & the Boulder","1998-10-16"
"130","s05e26","Snow","1998-10-19"
"131","s06e01","Salty's Secret","2002-09-16"
"132","s06e02","Harvey to the Rescue","2002-09-17"
"133","s06e03","No Sleep for Cranky","2002-09-18"
"134","s06e04","A Bad Day for Harold the Helicopter","2002-09-19"
"135","s06e05","Elizabeth the Vintage Lorry","2002-09-20"
"136","s06e06","The Fogman","2002-09-23"
"137","s06e07","Jack Jumps In","2002-09-24"
"138","s06e08","A Friend in Need","2002-09-25"
"139","s06e09","It's Only Snow","2002-09-26"
"140","s06e10","Twin Trouble","2002-09-27"
"141","s06e11","The World's Strongest Engine","2002-09-30"
"142","s06e12","Scaredy Engines","2002-10-01"
"143","s06e13","Percy and the Haunted Mine","2002-10-02"
"144","s06e14","Middle Engine","2002-10-03"
"145","s06e15","James and the Red Balloon","2002-10-04"
"146","s06e16","Jack Frost","2002-10-07"
"147","s06e17","Gordon Takes a Tumble","2002-10-08"
"148","s06e18","Percy's Chocolate Crunch","2002-10-09"
"149","s06e19","Buffer Bother","2002-10-10"
"150","s06e20","Toby Had a Little Lamb","2002-10-11"
"151","s06e21","Thomas, Percy and the Squeak","2002-10-14"
"152","s06e22","Thomas the Jet Engine","2002-10-15"
"153","s06e23","Edward the Very Useful Engine","2002-10-16"
"154","s06e24","Dunkin' Duncan","2002-10-17"
"155","s06e25","Rusty Saves the Day","2002-10-18"
"156","s06e26","Faulty Whistles","2002-10-21"
"157","s07e01","Emily's New Coaches","2003-10-06"
"158","s07e02","Percy Gets It Right","2003-10-07"
"159","s07e03","Bill, Ben and Fergus","2003-10-08"
"160","s07e04","The Old Bridge","2003-10-09"
"161","s07e05","Edward's Brass Band","2003-10-10"
"162","s07e06","What's the Matter with Henry?","2003-10-13"
"163","s07e07","James and the Queen of Sodor","2003-10-14"
"164","s07e08","The Refreshment Lady's Tea Shop","2003-10-15"
"165","s07e09","The Spotless Record","2003-10-16"
"166","s07e10","Toby's Windmill","2003-10-17"
"167","s07e11","Bad Day at Castle Loch","2003-10-20"
"168","s07e12","Rheneas and the Roller Coaster","2003-10-21"
"169","s07e13","Salty's Stormy Tale","2003-10-22"
"170","s07e14","Snow Engine","2003-10-23"
"171","s07e15","Something Fishy","2003-10-24"
"172","s07e16","The Runaway Elephant","2003-10-27"
"173","s07e17","Peace and Quiet","2003-10-28"
"174","s07e18","Fergus Breaks the Rules","2003-10-29"
"175","s07e19","Bulgy Rides Again","2003-10-30"
"176","s07e20","Harold and the Flying Horse","2003-10-31"
"177","s07e21","The Grand Opening","2003-11-03"
"178","s07e22","Best Dressed Engine","2003-11-04"
"179","s07e23","Gordon and Spencer","2003-11-05"
"180","s07e24","Not So Hasty Puddings","2003-11-06"
"181","s07e25","Trusty Rusty","2003-11-07"
"182","s07e26","Three Cheers for Thomas","2003-11-10"
"183","s08e01","Thomas and the Tuba","2004-08-01"
"184","s08e02","Percy's New Whistle","2004-08-01"
"185","s08e03","Thomas to the Rescue","2004-08-08"
"186","s08e04","Henry and the Wishing Tree","2004-08-08"
"187","s08e05","James Gets a New Coat","2004-08-15"
"188","s08e06","Thomas Saves the Day","2004-08-15"
"189","s08e07","Percy's Big Mistake","2004-08-22"
"190","s08e08","Thomas, Emily and the Snowplough","2004-08-22"
"191","s08e09","Don't Tell Thomas","2004-08-29"
"192","s08e10","Emily's New Route","2004-08-29"
"193","s08e11","Thomas and the Firework Display","2004-09-05"
"194","s08e12","Gordon Takes Charge","2004-09-05"
"195","s08e13","Spic and Span","2004-09-12"
"196","s08e14","Edward the Great","2004-09-12"
"197","s08e15","Squeak, Rattle and Roll","2004-09-19"
"198","s08e16","Thomas and the Circus","2004-09-19"
"199","s08e17","Thomas Gets it Right","2004-09-26"
"200","s08e18","As Good as Gordon","2004-09-26"
"201","s08e19","Fish","2004-10-03"
"202","s08e20","Emily's Adventure","2004-10-03"
"203","s08e21","Halloween","2004-10-10"
